
******************
 id: 4 ;load: 134360
******************
 id: 6 ;load: 135523
 id: 3 ;load: 132556
 id: 4 ;load: 133123
******************
 id: 6 ;load: 134873
 id: 3 ;load: 132022
 id: 4 ;load: 132512
******************
******************
******************
 id: 6 ;load: 135692
 id: 5 ;load: 136320
 id: 2 ;load: 136713
 id: 3 ;load: 135949
 id: 4 ;load: 135978
******************
 id: 6 ;load: 127062
 id: 5 ;load: 130649
 id: 2 ;load: 131821
 id: 3 ;load: 128966
 id: 4 ;load: 129207
******************
 id: 6 ;load: 126162
 id: 5 ;load: 130546
 id: 2 ;load: 130860
 id: 3 ;load: 128420
 id: 4 ;load: 128315
******************
 id: 6 ;load: 125902
 id: 5 ;load: 130355
 id: 2 ;load: 130669
 id: 3 ;load: 127916
 id: 4 ;load: 128063
******************
 id: 6 ;load: 122618
 id: 5 ;load: 130233
 id: 2 ;load: 127393
 id: 3 ;load: 127542
 id: 4 ;load: 124917
******************
 id: 6 ;load: 114886
 id: 5 ;load: 130172
 id: 2 ;load: 119600
 id: 3 ;load: 127099
 id: 4 ;load: 117193
******************
 id: 6 ;load: 76826
 id: 5 ;load: 130050
 id: 3 ;load: 125221
 id: 4 ;load: 77698
******************
 id: 5 ;load: 129928
 id: 2 ;load: -51492
 id: 3 ;load: 83954
******************
 id: 6 ;load: 8364
 id: 2 ;load: -52724
 id: 4 ;load: 10894
******************
 id: 6 ;load: 7320
 id: 5 ;load: 129546
 id: 2 ;load: -53760
 id: 4 ;load: 9988
******************
 id: 6 ;load: 7060
 id: 5 ;load: 129424
 id: 2 ;load: -54012
 id: 4 ;load: 9805
******************
 id: 6 ;load: -18970
 id: 5 ;load: 129363
 id: 2 ;load: -80103
 id: 4 ;load: -17668
******************
 id: 6 ;load: -112415
 id: 5 ;load: 126217
 id: 2 ;load: -172036
 id: 4 ;load: -109532
******************
 id: 6 ;load: -113655
 id: 5 ;load: 126095
 id: 2 ;load: -173268
 id: 4 ;load: -110695
******************
 id: 6 ;load: -114765
 id: 5 ;load: 125965
 id: 2 ;load: -174439
 id: 4 ;load: -111797
******************
 id: 6 ;load: -115655
 id: 5 ;load: 125774
 id: 4 ;load: -112610
******************
 id: 5 ;load: 125652
 id: 2 ;load: -175642
******************
 id: 6 ;load: -116106
 id: 2 ;load: -175894
 id: 4 ;load: -112976
******************
 id: 6 ;load: -116366
 id: 5 ;load: 125408
 id: 2 ;load: -176146
 id: 4 ;load: -113159
******************
 id: 6 ;load: -116626
 id: 5 ;load: 125217
 id: 2 ;load: -176398
 id: 4 ;load: -113281
******************
 id: 6 ;load: -116756
 id: 5 ;load: 125087
 id: 2 ;load: -176589
 id: 4 ;load: -113342
******************
 id: 6 ;load: -141237
 id: 5 ;load: 123453
 id: 2 ;load: -202680
 id: 4 ;load: -139364
******************
 id: 6 ;load: -301341
 id: 5 ;load: -291817
 id: 2 ;load: -308184
 id: 4 ;load: -244799
******************
 id: 6 ;load: -421981
 id: 5 ;load: -591012
 id: 2 ;load: -309355
 id: 4 ;load: -245321
******************
 id: 6 ;load: -424691
 id: 5 ;load: -591783
 id: 4 ;load: -51005682
******************
 id: 6 ;load: -511975
 id: 5 ;load: -597238
 id: 2 ;load: -81575995
 id: 4 ;load: -81502704
******************
 id: 5 ;load: -609493
******************
 id: 6 ;load: -599225
 id: 2 ;load: -81634167
 id: 4 ;load: -81577545
******************
 id: 6 ;load: -600465
 id: 5 ;load: -609867
 id: 2 ;load: -81635372
 id: 4 ;load: -81578750
******************
 id: 6 ;load: -600735
 id: 5 ;load: -609997
 id: 2 ;load: -81635531
 id: 4 ;load: -81578978
******************
 id: 6 ;load: -600995
 id: 5 ;load: -610119
 id: 2 ;load: -81635653
 id: 4 ;load: -81579100
******************
 id: 6 ;load: -601255
 id: 5 ;load: -610310
 id: 2 ;load: -81635775
 id: 4 ;load: -81579222
******************
 id: 6 ;load: -601385
 id: 5 ;load: -610371
 id: 2 ;load: -81635897
 id: 4 ;load: -81579283
******************
 id: 6 ;load: -601645
 id: 5 ;load: -610562
 id: 2 ;load: -81636080
 id: 4 ;load: -81579405
******************
******************
 id: 6 ;load: 137098
